investigator,url,veg_class,location,plotid,subsample,plot_type,plot_size,year,NPP
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1985,285.83
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1985,314.75
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1985,43.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1985,52.60
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1985,57.75
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1985,65.35
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1985,161.70
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1985,232.70
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1985,248.75
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1985,256.69
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1985,337.94
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1985,358.94
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1985,206.13
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1985,266.50
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1985,312.52
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1985,312.90
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1985,327.19
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1985,211.64
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1985,295.51
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1985,299.78
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1985,326.24
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1985,470.13
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1985,277.34
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1985,290.78
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1985,434.84
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1985,463.75
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1985,473.10
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1985,94.66
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1985,138.32
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1985,154.66
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1985,165.21
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1985,166.64
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1985,66.94
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1985,86.79
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1985,110.01
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1985,120.20
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1985,124.26
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1986,148.91
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1986,176.68
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1986,191.60
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1986,212.76
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1986,312.12
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1986,154.22
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1986,199.97
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1986,209.84
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1986,244.69
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1986,254.04
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1986,161.70
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1986,187.84
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1986,197.84
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1986,218.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1986,244.30
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1986,68.30
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1986,69.06
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1986,88.77
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1986,94.16
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1986,184.03
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1986,181.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1986,196.81
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1986,249.11
