"season","point_ID","max.dep"
2001,20,10
2001,21,215
2001,22,195
2001,23,270
2001,24,270
2001,25,150
2001,26,80
2001,27,75
2001,28,150
2001,29,30
2001,30,35
2001,31,210
2001,32,230
2001,33,280
2001,34,270
2001,35,250
2001,36,90
2001,37,110
2001,38,220
2001,39,15
2001,40,20
2001,41,225
2001,42,240
2001,43,410
2001,44,280
2001,45,320
2001,46,230
2001,47,75
2001,48,30
2001,49,50
2001,50,20
2001,51,170
2001,52,170
2001,53,280
2001,54,290
2001,55,400
2001,56,360
2001,57,50
2001,58,50
2001,59,30
2001,60,50
2001,61,160
2001,62,240
2001,63,300
2001,64,190
2001,65,440
2001,66,420
2001,67,50
2001,68,50
2001,69,40
2001,70,20
2001,71,150
2001,72,170
2001,73,270
2001,74,370
2001,75,280
2001,76,380
2001,77,140
2001,78,30
2001,79,50
2001,80,40
2001,101,10
2001,201,10
2001,301,10
2001,401,25
2001,501,25
2001,601,15
2001,701,20
2001,801,30
2002,1,50
2002,2,30
2002,3,40
2002,4,10
2002,5,50
2002,6,20
2002,7,10
2002,8,10
2002,9,20
2002,10,10
2002,11,50
2002,12,20
2002,13,90
2002,14,60
2002,15,30
2002,16,10
2002,17,20
2002,18,10
2002,19,10
2002,20,2
2002,21,50
2002,22,60
2002,23,90
2002,24,60
2002,25,10
2002,26,20
2002,27,40
2002,28,120
2002,29,2
2002,30,10
2002,31,10
2002,32,10
2002,33,50
2002,34,80
2002,35,70
2002,36,15
2002,37,70
2002,38,190
2002,39,20
2002,40,10
2002,41,10
2002,42,20
2002,43,75
2002,44,85
2002,45,125
2002,46,70
2002,47,40
2002,48,10
2002,49,10
2002,50,10
2002,51,10
2002,52,10
2002,53,70
2002,54,120
2002,55,220
2002,56,220
2002,57,20
2002,58,10
2002,59,10
2002,60,10
2002,61,10
2002,62,50
2002,63,110
2002,64,20
2002,65,240
2002,66,250
2002,67,10
2002,68,10
2002,69,10
2002,70,10
2002,71,40
2002,72,10
2002,73,60
2002,74,140
2002,75,110
2002,76,150
2002,77,20
2002,78,10
2002,79,10
2002,80,10
2002,101,10
2002,201,2
2002,301,10
2002,401,10
2002,501,10
2002,601,10
2002,701,10
2002,801,10
2003,1,350
2003,2,280
2003,3,260
2003,4,170
2003,5,200
2003,6,170
2003,7,40
2003,8,50
2003,9,60
2003,10,10
2003,11,400
2003,12,290
2003,13,280
2003,14,190
2003,15,160
2003,16,110
2003,17,60
2003,18,30
2003,19,30
2003,20,10
2003,21,410
2003,22,270
2003,23,280
2003,24,230
2003,25,130
2003,26,70
2003,27,90
2003,28,120
2003,29,80
2003,30,50
2003,31,480
2003,32,320
2003,33,290
2003,34,270
2003,35,220
2003,36,70
2003,37,110
2003,38,220
2003,39,30
2003,40,30
2003,41,390
2003,42,340
2003,43,420
2003,44,310
2003,45,310
2003,46,230
2003,47,70
2003,48,30
2003,49,60
2003,50,40
2003,51,330
2003,52,300
2003,53,350
2003,54,420
2003,55,420
2003,56,440
2003,57,40
2003,58,60
2003,59,30
2003,60,70
2003,61,180
2003,62,360
2003,63,480
2003,64,300
2003,65,400
2003,66,470
2003,67,40
2003,68,70
2003,69,30
2003,70,40
2003,71,150
2003,72,280
2003,73,490
2003,74,550
2003,75,460
2003,76,390
2003,77,100
2003,78,30
2003,79,60
2003,80,70
2003,101,0
2003,201,10
2003,301,30
2003,401,30
2003,501,50
2003,601,10
2003,701,40
2003,801,40
2004,1,200
2004,2,170
2004,3,170
2004,4,100
2004,5,190
2004,6,150
2004,7,50
2004,8,50
2004,9,80
2004,10,40
2004,11,190
2004,12,170
2004,13,240
2004,14,150
2004,15,140
2004,16,110
2004,17,90
2004,18,40
2004,19,50
2004,20,120
2004,21,185
2004,22,260
2004,23,250
2004,24,230
2004,25,140
2004,26,90
2004,27,90
2004,28,150
2004,29,50
2004,30,60
2004,31,150
2004,32,140
2004,33,210
2004,34,270
2004,35,230
2004,36,70
2004,37,110
2004,38,280
2004,39,50
2004,40,50
2004,41,140
2004,42,200
2004,43,265
2004,44,260
2004,45,290
2004,46,240
2004,47,80
2004,48,60
2004,49,80
2004,50,50
2004,51,160
2004,52,70
2004,53,250
2004,54,320
2004,55,420
2004,56,420
2004,57,70
2004,58,80
2004,59,50
2004,60,70
2004,61,90
2004,62,200
2004,63,250
2004,64,170
2004,65,450
2004,66,460
2004,67,90
2004,68,70
2004,69,65
2004,70,50
2004,71,120
2004,72,120
2004,73,220
2004,74,360
2004,75,295
2004,76,380
2004,77,120
2004,78,60
2004,79,60
2004,80,70
2004,101,50
2004,201,50
2004,301,60
2004,401,50
2004,501,70
2004,601,50
2004,701,50
2004,801,70
2005,1,245
2005,2,280
2005,3,255
2005,4,260
2005,5,190
2005,6,175
2005,7,50
2005,8,30
2005,9,35
2005,10,10
2005,11,275
2005,12,325
