year,collection_date,plot,subsample,veg_class,NPP,veg_moist 
2017,7/19/2017,601,B,DM,197,0
2017,7/19/2017,701,A,DM,82,0
2017,7/19/2017,701,B,DM,83,0
2017,7/19/2017,801,A,DM,147,0
2017,7/19/2017,801,B,DM,155,0
2017,7/24/2017,50,A,DM,111,0
2017,7/24/2017,50,B,DM,91,0
2017,7/24/2017,501,A,DM,120,0
2017,7/24/2017,501,B,DM,150,0
2017,7/31/2017,18,A,DM,232,0
2017,7/31/2017,18,B,DM,113,0
2017,8/2/2017,30,A,DM,100,0
2017,8/2/2017,30,B,DM,84,0
2017,8/2/2017,40,A,DM,92,0
2017,8/2/2017,40,B,DM,135,0
2017,8/2/2017,69,A,DM,176,0
2017,8/2/2017,69,B,DM,136,0
2017,8/2/2017,78,A,DM,268,0
2017,8/2/2017,78,B,DM,160,0
2017,8/24/2017,48,A,DM,154,0
2017,8/24/2017,48,B,DM,167,0
2017,8/24/2017,401,A,DM,102,0
2017,8/24/2017,401,B,DM,100,0
2017,8/30/2017,39,A,DM,88,0
2017,8/30/2017,39,B,DM,131,0
2017,8/30/2017,59,A,DM,105,0
2017,8/30/2017,59,B,DM,145,0
2017,9/6/2017,70,A,DM,118,0
2017,9/6/2017,70,B,DM,62,0
2018,6/25/2018,39,A,DM,256,0
2018,6/25/2018,39,B,DM,140.3,0
2018,6/27/2018,9,A,DM,178.4,0
2018,6/27/2018,9,B,DM,142.9,0
2018,6/27/2018,40,A,DM,165,0
2018,6/27/2018,40,B,DM,238.9,0
2018,6/27/2018,401,A,DM,147.4,0
2018,6/27/2018,401,B,DM,162.7,0
2018,6/27/2018,501,A,DM,168.6,0
2018,6/27/2018,501,B,DM,123.8,0
2018,7/2/2018,30,A,DM,88.6,0
2018,7/2/2018,30,B,DM,136.4,0
2018,7/2/2018,48,A,DM,86.3,0
2018,7/2/2018,50,A,DM,69.6,0
2018,7/2/2018,50,B,DM,108.6,0
2018,7/2/2018,59,A,DM,158.4,0
2018,7/2/2018,59,B,DM,201.8,0
2018,7/5/2018,70,B,DM,44.2,0
2018,7/6/2018,48,B,DM,133.8,0
2018,7/6/2018,69,A,DM,138.7,0
2018,7/6/2018,69,B,DM,145.9,0
2018,7/6/2018,70,A,DM,111.6,0
2018,7/6/2018,78,A,DM,190,0
2018,7/6/2018,78,B,DM,226.5,0
2018,7/9/2018,18,A,DM,202.4,0
2018,7/9/2018,18,B,DM,162.6,0
2018,7/9/2018,601,A,DM,219.1,0
2018,7/9/2018,601,B,DM,154.6,0
2018,7/9/2018,701,A,DM,232.9,0
2018,7/9/2018,701,B,DM,247.1,0
2018,7/9/2018,801,A,DM,130.8,0
2018,7/9/2018,801,B,DM,83.8,0
2008,NaN,10,A,FF,102,0
2008,NaN,10,B,FF,117,0
2008,NaN,19,A,FF,94,0
2008,NaN,19,B,FF,115,0
2008,NaN,20,A,FF,58,0
2008,NaN,20,B,FF,28,0
2008,NaN,29,A,FF,194,0
2008,NaN,29,B,FF,185,0
2008,NaN,51,A,FF,97,0
2008,NaN,51,B,FF,65,0
2008,NaN,58,A,FF,81,0
2008,NaN,58,B,FF,94,0
2008,NaN,101,A,FF,41,0
2008,NaN,101,B,FF,117,0
2008,NaN,201,A,FF,118,0
2008,NaN,201,B,FF,64,0
2010,7/1/2010,10,A,FF,83,0
2010,7/1/2010,10,B,FF,106,0
2010,7/1/2010,19,A,FF,80,0
2010,7/1/2010,19,B,FF,73,0
2010,7/1/2010,20,A,FF,43,0
2010,7/1/2010,20,B,FF,31,0
2010,7/1/2010,29,A,FF,54,0
2010,7/1/2010,29,B,FF,81,0
2010,7/1/2010,101,A,FF,42,0
2010,7/1/2010,101,B,FF,43,0
2010,8/5/2010,58,A,FF,130,0
2010,8/5/2010,58,B,FF,74,0
2010,NaN,51,A,FF,229,0
2010,NaN,51,B,FF,104,0
2010,NaN,201,A,FF,26,0
2010,NaN,201,B,FF,40,0
2011,7/12/2011,10,A,FF,273,0
2011,7/12/2011,10,B,FF,182,0
2011,7/12/2011,101,A,FF,94,0
2011,7/12/2011,101,B,FF,32,0
2011,7/12/2011,201,A,FF,102,0
2011,7/12/2011,201,B,FF,217,0
2011,7/13/2011,19,A,FF,149,0
2011,7/13/2011,19,B,FF,90,0
2011,7/13/2011,20,A,FF,89,0
2011,7/13/2011,20,B,FF,71,0
2011,7/13/2011,29,A,FF,168,0
2011,7/13/2011,29,B,FF,120,0
2011,7/25/2011,58,A,FF,73,0
2011,7/25/2011,58,B,FF,50,0
2011,8/5/2011,51,A,FF,80,0
2011,8/5/2011,51,B,FF,103,0
2012,6/26/2012,19,A,FF,294,0
2012,6/26/2012,19,B,FF,132,0
2012,6/26/2012,20,A,FF,158,0
2012,6/26/2012,20,B,FF,105,0
2012,6/26/2012,29,A,FF,149,0
2012,6/26/2012,29,B,FF,100,0
2012,6/26/2012,58,A,FF,97,0
2012,6/26/2012,58,B,FF,219,0
2012,6/26/2012,101,A,FF,83,0
2012,6/26/2012,101,B,FF,157,0
2012,6/26/2012,201,A,FF,125,0
2012,6/26/2012,201,B,FF,131,0
2012,6/27/2012,10,A,FF,57,0
2012,6/27/2012,10,B,FF,47,0
2012,7/9/2012,51,A,FF,46,0
2012,7/9/2012,51,B,FF,144,0
2013,7/17/2013,19,A,FF,111,0
2013,7/17/2013,19,B,FF,242,0
2013,7/17/2013,20,A,FF,91,0
2013,7/17/2013,20,B,FF,78,0
2013,7/17/2013,29,A,FF,156,0
2013,7/17/2013,29,B,FF,223,0
2013,7/17/2013,51,A,FF,159,0
2013,7/17/2013,51,B,FF,153,0
2013,7/17/2013,201,A,FF,101,0
2013,7/17/2013,201,B,FF,87,0
2013,7/18/2013,10,A,FF,110,0
2013,7/18/2013,10,B,FF,161,0
2013,7/18/2013,58,A,FF,181,0
2013,7/18/2013,58,B,FF,151,0
2013,7/18/2013,101,A,FF,138,0
2013,7/18/2013,101,B,FF,54,0
2014,7/14/2014,10,A,FF,155,0
2014,7/14/2014,10,B,FF,93,0
2014,7/14/2014,19,A,FF,188,0
2014,7/14/2014,19,B,FF,105,0
